iter	Logloss
0	0.6278001531
1	0.5730025981
2	0.5252889973
3	0.4835292349
4	0.4470540071
5	0.417088839
6	0.390921983
7	0.3674328736
8	0.3458317656
9	0.3290677189
10	0.3137363715
11	0.2989425672
12	0.2880894418
13	0.2784480281
14	0.2701738524
15	0.2621187082
16	0.2541229038
17	0.2473957809
18	0.2411191173
19	0.236348202
20	0.2322384025
21	0.2278730155
22	0.224635701
23	0.2216189334
24	0.218619503
25	0.2159434628
26	0.2131665566
27	0.2114318464
28	0.2095531035
29	0.207773503
30	0.206151588
31	0.2047432108
32	0.2040312022
33	0.2026348386
34	0.2018941737
35	0.2008620742
36	0.1997179856
37	0.1988884608
38	0.1980358604
39	0.1973485651
40	0.1966025253
41	0.1958621775
42	0.1954234305
43	0.1947239446
44	0.1942046687
45	0.1936041484
46	0.193150649
47	0.1928207956
48	0.1926577407
49	0.1923171544
50	0.1918034311
51	0.1913413
52	0.1908880129
53	0.1905879161
54	0.1902557011
55	0.1898642178
56	0.1895464524
57	0.1893575355
58	0.1891265849
59	0.1886860456
60	0.1883815116
61	0.1881723901
62	0.1878138348
63	0.1875696509
64	0.1873741392
65	0.1870617814
66	0.1867455139
67	0.1865693904
68	0.1863378333
69	0.1861289228
70	0.1859871773
71	0.185859748
72	0.1855476102
73	0.1853736249
74	0.1850719402
75	0.1848655522
76	0.1846396465
77	0.1845273839
78	0.1843598399
79	0.1842546278
80	0.1840838618
81	0.1839009636
82	0.1837827657
83	0.183661211
84	0.1835098663
85	0.1833918522
86	0.1832830997
87	0.1831913563
88	0.1830117169
89	0.1829198178
90	0.1826702205
91	0.1824564817
92	0.1823810833
93	0.1822431961
94	0.182127027
95	0.1819965371
96	0.1818826739
97	0.1817871742
98	0.1816809902
99	0.1815990763
100	0.1813822706
101	0.1812843363
102	0.1811874497
103	0.1810692549
104	0.1809777375
105	0.1809307097
106	0.1808377618
107	0.1807427637
108	0.1806074726
109	0.1804827968
110	0.1803995382
111	0.1803077039
112	0.1802194187
113	0.1800890962
114	0.1800012663
115	0.1798883158
116	0.1797704948
117	0.1796646443
118	0.1795364892
119	0.1793846961
120	0.1792775586
121	0.1791738859
122	0.1790857835
123	0.1790282339
124	0.1789638847
125	0.1788916509
126	0.1787903704
127	0.178695678
128	0.1786137315
129	0.1784638361
130	0.1783992577
131	0.1783060484
132	0.1782233895
133	0.1780771166
134	0.1780050175
135	0.1779256
136	0.177825297
137	0.1777646382
138	0.1776732182
139	0.1775767921
140	0.1775037409
141	0.1774332915
142	0.1773429012
143	0.1772804821
144	0.1771963184
145	0.1771159814
146	0.1770639729
147	0.1769980947
148	0.1769357837
149	0.1768830886
150	0.1767945744
151	0.1767327396
152	0.1766534429
153	0.1765793415
154	0.1765035995
155	0.1764495375
156	0.1763928434
157	0.1763085974
158	0.1762272247
159	0.1761450219
160	0.1760727406
161	0.1759531905
162	0.1758253091
163	0.1757575912
164	0.1756873357
165	0.1756251685
166	0.1755426041
167	0.1754793111
168	0.1754272617
169	0.1753988561
170	0.1753705308
171	0.1753325417
172	0.1752405784
173	0.1751833823
174	0.1750925667
175	0.175020793
176	0.1749501441
177	0.1748444651
178	0.1747553089
179	0.174688421
180	0.1746391326
181	0.1745749254
182	0.1745347
183	0.1744717609
184	0.1743917853
185	0.1743541596
186	0.1742682149
187	0.1742130717
188	0.174093797
189	0.1740139498
190	0.1739716397
191	0.1739331697
192	0.1738809604
193	0.1738372945
194	0.1737834116
195	0.1737311413
196	0.1736344315
197	0.173562407
198	0.1735115503
199	0.17343875
200	0.1733606224
201	0.1732720318
202	0.1732380222
203	0.1731747325
204	0.1731324818
205	0.1730497783
206	0.1730049625
207	0.172925336
208	0.1728204175
209	0.1727289543
210	0.1726751019
211	0.1725928639
212	0.1724945616
213	0.172428084
214	0.1723563269
215	0.1723086319
216	0.1722361247
217	0.17217954
218	0.1721058014
219	0.1720231108
220	0.1719367314
221	0.1719040722
222	0.171787954
223	0.1716883692
224	0.1716521219
225	0.1715702218
226	0.1714962065
227	0.1714209453
228	0.1713683545
229	0.1713333088
230	0.1712843246
231	0.1712353874
232	0.1711484077
233	0.1710968867
234	0.1710392367
235	0.1709682338
236	0.1708806172
237	0.1708181339
238	0.1707210114
239	0.170676496
240	0.1706211676
241	0.1705874788
242	0.1705310057
243	0.1704532449
244	0.1704058097
245	0.1703714686
246	0.1702950856
247	0.1702610799
248	0.1701147398
249	0.1700393574
250	0.1699593026
251	0.1698839158
252	0.1698184725
253	0.1697582307
254	0.1697003898
255	0.1696509331
256	0.1695820276
257	0.1695256138
258	0.1694690979
259	0.1694170957
260	0.1693677104
261	0.1692832869
262	0.1691809043
263	0.1691250803
264	0.1690425701
265	0.1689487829
266	0.1688472176
267	0.1687582353
268	0.1686774774
269	0.1686308094
270	0.1685998312
271	0.1685698615
272	0.1685487615
273	0.1685046772
274	0.1684488114
275	0.1683603664
276	0.1682966627
277	0.1682500852
278	0.1682125025
279	0.1681512035
280	0.1681032695
281	0.1680351156
282	0.1679994654
283	0.1679391962
284	0.1678939066
285	0.1678517542
286	0.1677843654
287	0.1677663509
288	0.1677108766
289	0.1676586813
290	0.1676101043
291	0.1675522153
292	0.167502461
293	0.1674438282
294	0.1673599189
295	0.1673123056
296	0.1672446388
297	0.1672029527
298	0.1671579073
299	0.1671120861
